標題,人氣,日期,情緒分數,情緒加權分數
Re: [請益] 如何製作自己的損益及淨值EXCEL圖表,5,2025-06-01,0,0.0
[請益] 分帳戶 與 資金管理帳戶,,2025-06-01,0,0.0
[新聞] 「大而美法案」可對外資課稅 施俊吉：美,57,2025-06-01,0,0.0
[新聞] 川普裁員請求被法院駁回！美國政府重組、,56,2025-06-01,0,0.0
[新聞] 全台破900家！這間早餐店全年營收25億,99,2025-06-01,0,0.0
[新聞] 達飛6月重返紅海法人估他航多數會跟進,6,2025-06-01,0,0.0
[公告] 板主濫權 水桶,33,2025-06-01,0,0.0
[公告] 分身水桶,6,2025-06-01,0,0.0
Re: [新聞] 美監管機構調查：特斯拉自駕系統存在「,8,2025-06-01,0,0.0
Re: [新聞] 比亞迪掀起車市價格戰　陸工信部警告：加,38,2025-06-01,0,0.0
[新聞] 即使有搶貨潮 大陸5月製造業PMI仍低於50%,10,2025-06-01,0,0.0
Re: [新聞] 全台破900家！這間早餐店全年營收25億,83,2025-06-01,0,0.0
Re: [新聞] 美監管機構調查：特斯拉自駕系統存在「,16,2025-06-01,0,0.0
Re: [新聞] 美監管機構調查：特斯拉自駕系統存在「,11,2025-06-01,0,0.0
[心得] 投資虧損檢討心得,60,2025-06-01,-2,-0.2
[新聞] 美國將中國部分產品的301關稅豁免延長至8,82,2025-06-01,0,0.0
[新聞] 中國限制稀土出口！　美汽車製造業受重,爆,2025-06-01,0,0.0
[公告] 版主壞壞 水桶,11,2025-06-01,0,0.0
Re: [心得] 投資虧損檢討心得,9,2025-06-01,-2,-0.2
[新聞] 央行抓到外資炒匯 發六點聲明強調穩匯決,63,2025-06-01,0,0.0
[新聞] 中國機器人有望超越美國！馬斯克：二到十,61,2025-06-01,0,0.0
Re: [新聞] 中國限制稀土出口！　美汽車製造業受重,61,2025-06-01,0,0.0
Re: [新聞] 全台破900家！這間早餐店全年營收25,,2025-06-01,0,0.0
Re: [新聞] 全台破900家！這間早餐店全年營收25億,爆,2025-06-01,0,0.0
[新聞] 台幣今年以來升值9.53％ 反映經濟基本面佳,爆,2025-06-01,0,0.0
[新聞] 央行回應外界對美債疑慮 美國債市仍具全,48,2025-06-01,0,0.0
Re: [新聞] 台幣今年以來升值9.53％ 反映經濟基本面佳,X1,2025-06-01,0,0.0
[公告] 要跟被本保羅水桶的板友致歉的06/01水桶,4,2025-06-01,0,0.0
[情報]   2025/05/29（四）八大公股銀行買賣超1,,2025-06-02,0,0.0
[公告] 0602 水桶,8,2025-06-02,0,0.0
Re: [新聞] 美監管機構調查：特斯拉自駕系統存在「,,2025-06-02,0,0.0
[新聞] 川普調高鋼鐵銷美關稅 中鋼：衝擊有限,19,2025-06-02,0,0.0
"[新聞] 明年最低工資估漲3% 月薪可能升至29,450",爆,2025-06-02,0,0.0
[新聞] 川普本週將與習近平通電話　美官員：雙,74,2025-06-02,0,0.0
[新聞] 川普關稅政策不會消失！　美商務部長：,63,2025-06-02,0,0.0
[閒聊] 2025/06/02 盤中閒聊,99,2025-06-02,0,0.0
[新聞] 《美債》川普拒當濫好人、轟中國違約 殖,36,2025-06-02,0,0.0
[請益] 請問怎麼看腳已成形,70,2025-06-02,0,0.0
Re: [新聞] 《美債》川普拒當濫好人、轟中國違約 殖,22,2025-06-02,0,0.0
[請益] 中國要拿稀土跟美國換什麼？,爆,2025-06-02,0,0.0
Re: [新聞] 川普關稅政策不會消失！　美商務部長：,11,2025-06-02,0,0.0
[標的] 軍工國防股應該不可能輸吧,21,2025-06-02,0,0.0
[新聞] 關稅戰衝擊 勞動基金1至4月虧1990億元,爆,2025-06-02,-1,-0.1
[創作] 進階覆盤功能上線！股市模擬遊戲-趨勢縣,21,2025-06-02,0,0.0
Re: [請益] 請問怎麼看腳已成形,12,2025-06-02,0,0.0
[閒聊] 2025/06/02 盤後閒聊,49,2025-06-02,0,0.0
[新聞] 00919 本季配息0.72元,79,2025-06-02,0,0.0
[公告] 公器私用 水桶,16,2025-06-02,0,0.0
[情報] 5508 永信建114年5月營收,22,2025-06-02,0,0.0
[情報] 0602 上市投信買賣超排行,31,2025-06-02,0,0.0
[新聞] 「中國沒阻稀土出口」美國商會稱： 有亞,78,2025-06-02,0,0.0
[情報] 00937B 五月配息,23,2025-06-02,0,0.0
[情報] 114年06月02日 三大法人買賣金額統計表,95,2025-06-02,0,0.0
[新聞] 逾122萬受益人嗨起來！00919配息0.72元維,9,2025-06-02,0,0.0
[公告] yutgj 水桶,5,2025-06-02,0,0.0
[情報] 00687B 6月配息公告：0.31元,49,2025-06-02,0,0.0
[心得] 台股現在在等美股大跌打第二隻腳,2,2025-06-02,0,0.0
[情報] 0602 上市外資買賣超排行,47,2025-06-02,0,0.0
[情報] 00915 114/06/17 預估除息0.21元,22,2025-06-02,0,0.0
[新聞] 00915配息縮至新低0.21元！2大原因影響,22,2025-06-02,0,0.0
[新聞] 下半年九利空罩頂！李同榮：房價從南到北,57,2025-06-02,0,0.0
Re: [情報] 0602 上市外資買賣超排行,,2025-06-02,0,0.0
[請益] 去年6月以來高股息ETF配多配少好像差不,29,2025-06-02,0,0.0
[情報] 00962台新臺灣AI優息動能ETF：不配息,94,2025-06-02,0,0.0
[新聞] 在美債市場追隨巴菲特 投資人湧向超短債,17,2025-06-02,0,0.0
[心得] 是產業傾向問題,16,2025-06-02,0,0.0
[情報] 2323 中環 取得台積電，處分華碩(益),14,2025-06-02,0,0.0
[新聞] 國泰20年美債ETF本季擬配0.31元 配息連3降,68,2025-06-02,0,0.0
[情報] 00934、00963、00964 114/06/17預計除息,15,2025-06-02,0,0.0
[情報] 3004 豐達科 5月自結合併營收為3.0億元,7,2025-06-02,0,0.0
[新聞] 八方雲集、築間輸了！台灣最賺錢餐飲集,爆,2025-06-02,1,0.1
[情報] 114年06月02日信用交易統計,16,2025-06-02,0,0.0
[新聞] 00712季配息金額升至0.23元 年化配息率約,12,2025-06-02,0,0.0
[情報] 0602 上市櫃外資投信買超金額排行,,2025-06-02,0,0.0
[新聞] 8 月起全面生效，Google Chrome 將移除,60,2025-06-02,0,0.0
[情報] 0602 上市櫃股票週轉率排行,,2025-06-02,0,0.0
[新聞] 獨／台幣飆升…科技大廠趕忙償還美元借款,34,2025-06-02,0,0.0
[心得] 7/5大災難該不會是指股災？,,2025-06-02,0,0.0
[情報] 2025/06/02（一）八大公股銀行買賣超排꘱,1,2025-06-03,0,0.0
[新聞] 輝達「地表最強超級電腦」要來了 波若威,34,2025-06-03,0,0.0
[公告] 0603 水桶,4,2025-06-03,0,0.0
[新聞] 路透：川普加速關稅談判　要求各國6/4前,爆,2025-06-03,0,0.0
[情報] 00944野村台灣趨勢動能etf: 不配息,59,2025-06-03,0,0.0
[閒聊] 2025/06/03 盤中閒聊,99,2025-06-03,0,0.0
[情報] 00948B 六月預估配息 0.046,25,2025-06-03,0,0.0
[情報] Credo財報,7,2025-06-03,0,0.0
[新聞] 直擊／台積電股東會前半小時湧人潮　勞,7,2025-06-03,0,0.0
[新聞] 嘉科台積電先進封裝廠 首座第3季裝機,7,2025-06-03,0,0.0
[新聞]川普下周將簽行政令 禁止中國無人機在美銷售,86,2025-06-03,0,0.0
[新聞] 首檔ETF分割！國泰00663L今最後交易日 價,9,2025-06-03,0,0.0
[新聞] 波音訂單滿手 供應鏈吃香,21,2025-06-03,0,0.0
[新聞] 簽署百億美元巨額授權BioNTech的中國創新,11,2025-06-03,0,0.0
[情報] 00972野村日本高息 六月預計配息:0.05元,12,2025-06-03,0,0.0
[新聞] 中國經濟持續下行 保險公司分支五年關1.1,9,2025-06-03,0,0.0
[新聞] 魏哲家：台積電全力支持再生能源 能買的,57,2025-06-03,0,0.0
[心得] 台股觀察:指數不能翻黑 否則會開始下跌,X6,2025-06-03,-1,-0.1
[新聞] 台積電股東會／魏哲家：人形機器人 AI 已,32,2025-06-03,0,0.0
[新聞] 魏哲家：關稅由進口者負擔 台積電生意好,48,2025-06-03,0,0.0
[新聞] 魏哲家喊話股東多支持買股 重申全年成長,35,2025-06-03,0,0.0
[公告] 2025/06/03 盤中水桶,12,2025-06-03,0,0.0
[請益] 高股息不配息？,84,2025-06-03,0,0.0
Re: [請益] 高股息不配息？,10,2025-06-03,0,0.0
[新聞] 「美國貴又不好吃」魏哲家以鼎泰豐比喻,爆,2025-06-03,0,0.0
[請益] ETF要配息？還是要含息報酬率？,23,2025-06-03,0,0.0
[新聞] 川普下最後通牒！狂催關稅談判進度 要求,爆,2025-06-03,0,0.0
[新聞] 英特爾、軟銀成立新公司 Saimemory，拚 2,41,2025-06-03,0,0.0
