時間,標題,連結
2025-01-01 22:05,史上首見！金融三業前11月大豐收 稅前盈餘衝破兆元大關,https://news.cnyes.com/news/id/5823602
2025-01-01 13:25,政策利多今年可望相繼發酵 中國水泥價格拚築底回升,https://news.cnyes.com/news/id/5823561
2025-01-01 12:40,輝達執行長黃仁勳CES展開講 市場聚焦三應用,https://news.cnyes.com/news/id/5823306
2025-01-01 12:20,〈ETF風雲榜〉00915含息報酬22%笑傲群雄 蟬聯2024高股息ETF績效王,https://news.cnyes.com/news/id/5823513
2025-01-01 12:00,〈ETF風雲榜〉00910全年漲近7成勇奪績效王 0052躍最強台股ETF,https://news.cnyes.com/news/id/5823512
2025-01-01 11:53,總統賴清德發表2025新年談話全文,https://news.cnyes.com/news/id/5823549
2025-01-01 11:48,債券又迎來令人失望的一年,https://news.cnyes.com/news/id/5823453
2025-01-01 11:40,光通訊台廠明年Q1起陸續出貨 2025年將成CPO應用元年,https://news.cnyes.com/news/id/5823495
2025-01-01 11:21,海外基金回顧與展望：放眼2025 當心Fed鷹式降息 聚焦美國、多元配置是關鍵,https://news.cnyes.com/news/id/5823403
2025-01-01 11:18,王品擘劃2025 釋出千個職缺、品牌加強導入自助吧,https://news.cnyes.com/news/id/5823544
2025-01-01 11:08,復盛旗下民盛1/6登錄興櫃  去年前11月自結EPS達7.4元,https://news.cnyes.com/news/id/5823521
2025-01-01 11:00,富國銀行：美國2025年持續引領全球經濟增長,https://news.cnyes.com/news/id/5823517
2025-01-01 10:54,藥華藥2024年漲逾7成 血癌新藥全球三期結果Q1公布,https://news.cnyes.com/news/id/5823466
2025-01-01 10:53,幫你看緊荷包！期交所「期貨交易風險模擬平台」上線 可模擬損益及保證金試算,https://news.cnyes.com/news/id/5823433
2025-01-01 10:16,2022年來首見 費半迎新年遇「死亡交叉」不祥信號,https://news.cnyes.com/news/id/5823537
2025-01-01 09:46,「中國液晶之父」挑戰半導體,https://news.cnyes.com/news/id/5823533
2025-01-01 09:20,中國證監會擬發布上市公司破產重整指引,https://news.cnyes.com/news/id/5823468
2025-01-01 09:00,港股恒指年內升近18% 多家機構看好2025年,https://news.cnyes.com/news/id/5823465
2025-01-01 08:00,美股重點新聞摘要2024年1月1日,https://news.cnyes.com/news/id/5823516
2025-01-01 08:00,2024年A股市場回顧與2025年展望,https://news.cnyes.com/news/id/5823464
2025-01-01 08:00,川普上任美中貿易 科技 關稅戰，台股2025操作主軸精選研究報告,https://news.cnyes.com/news/id/5822879
2025-01-01 06:56,輝達領軍 AI革命將造就2025年十大贏家 軟體公司終於加入,https://news.cnyes.com/news/id/5823518
2025-01-01 06:13,〈紐約匯市〉Fed趨謹慎 美元續強勢 全年漲7%,https://news.cnyes.com/news/id/5823514
2025-01-01 06:07,〈美股盤後〉美股封關日 標普連四黑 2024年漲幅達23%,https://news.cnyes.com/news/id/5823451
2025-01-01 05:37,〈貴金屬盤後〉完美風暴助攻 黃金締造2010年來最佳年漲幅,https://news.cnyes.com/news/id/5823515
2025-01-01 05:14,〈能源盤後〉油價年跌幅達3% 連續第二年下滑,https://news.cnyes.com/news/id/5823452
2025-01-01 02:30,美國10月房價年升3.6% 增速略有放緩,https://news.cnyes.com/news/id/5823469
2025-01-01 01:30,特斯拉榮景能持續？年度銷售成績是關鍵,https://news.cnyes.com/news/id/5823446
2025-01-02 23:10,美上周初領失業金人數降至21.1萬 寫8個月新低,https://news.cnyes.com/news/id/5824741
2025-01-02 22:48,〈美股早盤〉2025年首個交易日 主要指數開盤走高,https://news.cnyes.com/news/id/5824740
2025-01-02 22:38,特斯拉年銷量逾10年來首見下滑 去年Q4交車量遜預期,https://news.cnyes.com/news/id/5824837
2025-01-02 22:04,量級不同 分析師：輝達不必與同業競逐AI晶片,https://news.cnyes.com/news/id/5824818
2025-01-02 21:34,新人新政 分析師：星巴克股價有再漲30%空間,https://news.cnyes.com/news/id/5824805
2025-01-02 21:13,關注Fed利率動態 黃金在去年上漲27%後開年走升,https://news.cnyes.com/news/id/5824801
2025-01-02 21:02,2024年底美國房貸需求大減22%,https://news.cnyes.com/news/id/5824800
2025-01-02 20:38,比特幣今年還有順風局？分析：要注意有可能回檔,https://news.cnyes.com/news/id/5824744
2025-01-02 20:27,〈廣達旺年會〉楊麒令：GB200需求未見減少 Q1如期量產 GB300有望Q3出貨,https://news.cnyes.com/news/id/5824796
2025-01-02 20:25,傳美國碼頭勞資協商將於下周二重啟談判,https://news.cnyes.com/news/id/5824773
2025-01-02 20:25,矽統旗下紘康董事改選 原董座趙伯寅續任,https://news.cnyes.com/news/id/5824774
2025-01-02 19:58,美股ETF今年還能順風順水？華爾街分析師這麼看,https://news.cnyes.com/news/id/5824762
2025-01-02 19:56,想嘗美股甜頭又怕MAGA浪大？法人建議美國平衡基金避風港 2024年漲幅達17%,https://news.cnyes.com/news/id/5824764
2025-01-02 19:52,〈車市〉和泰車連23年稱霸 2024前10大熱銷車TOYOTA包辦5款,https://news.cnyes.com/news/id/5824772
2025-01-02 19:23,高科技移民簽證之爭 川普站在馬斯克等巨頭一邊,https://news.cnyes.com/news/id/5824696
2025-01-02 19:19,中國電動車價格戰持續 車企延長購車優惠方案,https://news.cnyes.com/news/id/5824742
2025-01-02 19:17,〈台幣〉2025開紅盤股匯雙殺 進逼32.9關卡探5個月新低,https://news.cnyes.com/news/id/5824738
2025-01-02 19:17,統一超2025強拓電商版圖 iOPEN Mall搶中小賣家,https://news.cnyes.com/news/id/5824743
2025-01-02 19:00,面對華為激烈競爭 蘋果在中國提供假日優惠,https://news.cnyes.com/news/id/5824739
2025-01-02 18:51,LINE Pay何時升格電支？金管會：3月函查、5月揭曉答案,https://news.cnyes.com/news/id/5824711
2025-01-02 18:49,〈車市〉Lexus連2年擠下歐系車 居豪華車銷售冠軍,https://news.cnyes.com/news/id/5824698
2025-01-02 18:40,中國新增28家美國實體至出口管制清單,https://news.cnyes.com/news/id/5824695
2025-01-02 18:38,〈房產〉六都建物買賣移轉數12月小拉尾盤 全年達27萬棟年增14.8%,https://news.cnyes.com/news/id/5824689
2025-01-02 18:33,〈廣達旺年會〉林百里：2025年AI超級電腦出產 AI領域將成為廣達的天下,https://news.cnyes.com/news/id/5824692
2025-01-02 18:30,受惠AI熱潮 輝達市值去年增逾2兆美元,https://news.cnyes.com/news/id/5824688
2025-01-02 18:30,封關最飆股 最後上車機會 【世紀 第2】最後50名,https://news.cnyes.com/news/id/5824533
2025-01-02 18:29,4900家用電大戶及國營事業每年節電目標訂為1.5% 企業可「以大帶小」,https://news.cnyes.com/news/id/5824486
2025-01-02 18:22,美股估值過高 分析師：今年應降低風險部位,https://news.cnyes.com/news/id/5824666
2025-01-02 18:03,迎美、中政策利多 中信00917、00882年化配息率破8%,https://news.cnyes.com/news/id/5824644
2025-01-02 18:02,2025年第一個交易日 美債殖利率下跌,https://news.cnyes.com/news/id/5824645
2025-01-02 17:58,〈車市〉去年總銷量達45萬台規模 前10大車商交車消長各半,https://news.cnyes.com/news/id/5824603
2025-01-02 17:48,年關近！保單借款紓困祭優利2.165% 3/31前受理申請,https://news.cnyes.com/news/id/5824534
2025-01-02 17:46,乾瞻科技全新汽車IP獲客戶採用 明年初進入量產,https://news.cnyes.com/news/id/5824642
2025-01-02 17:40,高盛下修2025年聯準會降息預測至75個基點,https://news.cnyes.com/news/id/5824315
2025-01-02 17:39,威剛前往美國CES 攜產業夥伴展三大主題,https://news.cnyes.com/news/id/5824598
2025-01-02 17:26,日本去年補助全固態電池逾6.6億美元 中韓企業緊追在後,https://news.cnyes.com/news/id/5824586
2025-01-02 17:16,愛德萬測試：2奈米只有一家生產 測試設備配合台積電出貨,https://news.cnyes.com/news/id/5824531
2025-01-02 17:14,【新台股龍捲風】別人的故事不要追，2025年尋找右下角！,https://news.cnyes.com/news/id/5824585
