日期,鉅亨_每日原始總分,鉅亨_左側情緒分類,兆豐_每日原始總分,兆豐_左側情緒分類,PTT_每日原始總分,PTT_左側情緒分類
2020-01-01,12.0,-1.0,,,1,-1
2020-01-02,28.0,-1.0,1.0,-1.0,2,-1
2020-01-03,22.0,-1.0,7.0,-1.0,12,-1
2020-01-04,14.0,-1.0,,,4,-1
2020-01-05,6.0,-1.0,,,2,-1
2020-01-06,18.0,-1.0,-2.0,1.0,-2,1
2020-01-07,42.0,-1.0,6.0,-1.0,-2,1
2020-01-08,18.0,-1.0,1.0,-1.0,-3,1
2020-01-09,30.0,-1.0,1.0,-1.0,1,-1
2020-01-10,32.0,-1.0,-1.0,1.0,1,-1
2020-01-11,18.0,-1.0,,,0,0
2020-01-12,14.0,-1.0,,,0,0
2020-01-13,24.0,-1.0,6.0,-1.0,2,-1
2020-01-14,32.0,-1.0,4.0,-1.0,0,0
2020-01-15,34.0,-1.0,5.0,-1.0,0,0
2020-01-16,12.0,-1.0,-4.0,1.0,0,0
2020-01-17,44.0,-1.0,5.0,-1.0,0,0
2020-01-18,10.0,-1.0,,,1,-1
2020-01-19,12.0,-1.0,,,0,0
2020-01-20,40.0,-1.0,12.0,-1.0,1,-1
2020-01-21,-2.0,1.0,,,0,0
2020-01-22,24.0,-1.0,,,0,0
2020-01-23,2.0,-1.0,,,0,0
2020-01-24,8.0,-1.0,,,0,0
2020-01-25,2.0,-1.0,,,0,0
2020-01-26,16.0,-1.0,,,-4,1
2020-01-27,2.0,-1.0,,,1,-1
2020-01-28,4.0,-1.0,,,0,0
2020-01-29,18.0,-1.0,,,2,-1
2020-01-30,2.0,-1.0,-7.0,1.0,1,-1
2020-01-31,24.0,-1.0,3.0,-1.0,1,-1
2020-02-01,2.0,-1.0,,,-2,1
2020-02-02,-4.0,1.0,,,1,-1
2020-02-03,-16.0,1.0,-7.0,1.0,3,-1
2020-02-04,20.0,-1.0,3.0,-1.0,1,-1
2020-02-05,18.0,-1.0,0.0,0.0,0,0
2020-02-06,26.0,-1.0,6.0,-1.0,2,-1
2020-02-07,14.0,-1.0,-2.0,1.0,0,0
2020-02-08,12.0,-1.0,,,0,0
2020-02-09,6.0,-1.0,,,2,-1
2020-02-10,8.0,-1.0,-3.0,1.0,0,0
2020-02-11,12.0,-1.0,2.0,-1.0,-1,1
2020-02-12,26.0,-1.0,-1.0,1.0,4,-1
2020-02-13,20.0,-1.0,0.0,0.0,1,-1
2020-02-14,20.0,-1.0,-1.0,1.0,0,0
2020-02-15,16.0,-1.0,,,1,-1
2020-02-16,2.0,-1.0,,,1,-1
2020-02-17,0.0,0.0,0.0,0.0,0,0
2020-02-18,0.0,0.0,0.0,0.0,0,0
2020-02-19,12.0,-1.0,4.0,-1.0,1,-1
2020-02-20,24.0,-1.0,7.0,-1.0,-4,1
2020-02-21,4.0,-1.0,-2.0,1.0,-2,1
2020-02-22,-8.0,1.0,,,1,-1
2020-02-23,2.0,-1.0,,,1,-1
2020-02-24,2.0,-1.0,-6.0,1.0,0,0
2020-02-25,6.0,-1.0,-1.0,1.0,-2,1
2020-02-26,4.0,-1.0,5.0,-1.0,4,-1
2020-02-27,12.0,-1.0,-6.0,1.0,-1,1
